name,full_name,description,topics,stars,url
ET,egametang/ET,Unity3D Client And C# Server Framework,"['actor', 'c-sharp', 'dotnet', 'game', 'game-engine', 'meta', 'metaverse', 'mmo', 'mmorpg', 'server', 'unity', 'unity3d', 'web3']",9624,https://github.com/egametang/ET
ethers.js,ethers-io/ethers.js,Complete Ethereum library and wallet implementation in JavaScript.,"['blockchain', 'ethereum', 'ethers', 'javascript', 'typescript', 'web3']",8627,https://github.com/ethers-io/ethers.js
mist,ethereum/mist,[DEPRECATED] Mist. Browse and use Ðapps on the Ethereum network.,"['blockchain', 'browser', 'electron', 'ethereum', 'geth', 'meteor', 'web3']",7449,https://github.com/ethereum/mist
awesome-solidity,bkrem/awesome-solidity,"⟠ A curated list of awesome Solidity resources, libraries, tools and more","['awesome', 'awesome-list', 'contract-solidity', 'dapps', 'ethereum', 'linter-solidity', 'lists', 'resources', 'solidity', 'solidity-compiler', 'solidity-contracts', 'solidity-coverage', 'solidity-dapps', 'solidity-language', 'solidity-parser', 'solidity-security', 'solidity-web', 'web3', 'web3-dapp', 'web3-solidity']",6993,https://github.com/bkrem/awesome-solidity
wagmi,wevm/wagmi,Reactive primitives for Ethereum apps,"['dapp', 'ethereum', 'hooks', 'react', 'typescript', 'viem', 'vue', 'wagmi', 'web3']",6634,https://github.com/wevm/wagmi
intentkit,crestalnetwork/intentkit,"An open and fair framework for everyone to build AI agents equipped with powerful skills. Launch your agent, improve the world, your wallet, or both!","['agentic-workflow', 'ai', 'ai-agent', 'ai-agent-framework', 'blockchain', 'intents', 'launchpad', 'python', 'web3']",6480,https://github.com/crestalnetwork/intentkit
DeFiHackLabs,SunWeb3Sec/DeFiHackLabs,Reproduce DeFi hacked incidents using Foundry.,"['defi', 'ethereum', 'foundry', 'solidity', 'web3']",6343,https://github.com/SunWeb3Sec/DeFiHackLabs
melonJS,melonjs/melonJS,"a fresh, modern & lightweight HTML5 game engine","['2d-game-engine', 'canvas2d', 'contributions-welcome', 'es6', 'game-development', 'game-engine', 'gamedev', 'hacktoberfest', 'html5', 'html5-canvas', 'javascript', 'melonjs', 'tiled', 'typescript', 'web3', 'webaudio', 'webgl', 'webgl2']",6208,https://github.com/melonjs/melonJS
ethereum-org-website,ethereum/ethereum-org-website,Ethereum.org is a primary online resource for the Ethereum community.,"['blockchain', 'chakra-ui', 'ethereum', 'nextjs', 'react', 'typescript', 'web3']",5822,https://github.com/ethereum/ethereum-org-website
web3-react,Uniswap/web3-react,"A simple, maximally extensible, dependency minimized framework for building modern Ethereum dApps","['dapp', 'ethereum', 'javascript', 'typescript', 'web3']",5696,https://github.com/Uniswap/web3-react
PoWFaucet,pk910/PoWFaucet,"Modularized faucet for EVM chains with different protection methods (Captcha, Mining, IP, Mainnet Balance, Gitcoin Passport and more)","['ethereum', 'faucet', 'sybil-resistance', 'testnet', 'testnet-faucet', 'web3']",5348,https://github.com/pk910/PoWFaucet
gaianet-node,GaiaNet-AI/gaianet-node,"Install, run and deploy your own decentralized AI agent service","['agentic-ai', 'agentic-framework', 'ai', 'ai-agents', 'chatbot', 'decentralized', 'ethereum', 'hacktoberfest', 'hacktoberfest-accepted', 'machine-learning', 'mcp', 'ml', 'web3']",5008,https://github.com/GaiaNet-AI/gaianet-node
project_web3.0,adrianhajdin/project_web3.0,"This is a code repository for the corresponding video tutorial. In this video, we're going to build a Web 3.0 React Solidity Blockchain Application","['smart-contracts', 'solidity', 'web3']",4264,https://github.com/adrianhajdin/project_web3.0
ethereum-boilerplate,ethereum-boilerplate/ethereum-boilerplate,"The ultimate NextJS Ethereum Dapp Boilerplate which gives you maximum flexibility and speed. Feel free to fork and contribute. Although this repo is called ""Ethereum Boilerplate"" it works with any EVM system and since it uses Moralis SDK You can even use it on Solana!  Happy BUIDL!👷‍♂️","['bsc-boilerplate', 'dapp-boilerplate', 'dapp-example', 'ethereum', 'ethereum-boilerplate', 'ethereum-client', 'ethereum-react', 'moralis', 'nextjs', 'nextjs-starter', 'polygon-boilerplate', 'react', 'web3']",4164,https://github.com/ethereum-boilerplate/ethereum-boilerplate
eattheblocks,jklepatch/eattheblocks,"Source code for Eat The Blocks, a screencast for Ethereum Dapp Developers","['blockchain', 'ethereum', 'screencast-series', 'solidity', 'truffle', 'truffle-framework', 'tutorial', 'web3']",4005,https://github.com/jklepatch/eattheblocks
